Name of Operation,District,Area,Geographic Location,Licensed 2016,Opening Year,Hotel Rooms,Hotel Units,Total beds,Hotel Employment Males National,Hotel Employment Females National,Hotel Employment Males Foreign,Hotel Employment Females Foreign,Latitude,Longitude
Barefoot Beach Belize,Belize,Caye Caulker,Northern Islands ,Yes,2005,19,18,24,0,3,0,0,17.738077,-88.025608
Barefoot Caribe Hotel,Belize,Caye Caulker,Northern Islands ,Yes,2004,15,15,22,2,2,0,0,17.747305,-88.023892
Barnacle Bill's Beach Bungalows,Stann Creek,Placencia,SouthEastern Coast ,Yes,1999,3,2,4,1,1,0,0,16.610049,-88.353001
Bay View Guesthouse,Belize,Belize City,Central Coast Belize,Yes,2007,8,8,8,0,2,0,0,17.30314,-88.112
Bayside Guest House,Corozal,Corozal,Northern Belize,No,2010,8,4,7,0,1,0,0,18.393274,-88.383052
Beach House Bliss,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2014,4,2,0,1,0,0,0,16.48539,-88.15387
Beaches & Dreams Seafront Inn,Stann Creek,Hopkins,SouthEastern Coast ,Yes,1999,11,11,20,9,11,1,1,16.51586,-88.17104
Beachfront Suites,Stann Creek,Placencia,SouthEastern Coast ,Yes,2004,3,3,3,1,1,0,0,,
Beachside Cottage ,Belize,Caye Caulker,Northern Islands ,Yes,2011,2,1,1,1,1,0,0,17.734146,-88.027933
Bed & Breakfast in Belize,Stann Creek,Dangriga,SouthEastern Coast ,Yes,2015,2,1,5,8,1,0,0,16.840614,-88.274118
Belcampo Lodge,Toledo,Toledo,Southern Belize,Yes,2006,17,17,21,52,27,1,1,16.111328,-88.811835
Belcove Hotel,Belize,Belize City,Central Coast Belize,Yes,1979,13,13,16,2,2,0,0,17.495669,-88.187885
Belcove Island lodge,Belize,Offshore North,Northern Islands ,Yes,2000,7,7,16,2,0,0,0,17.495416,-88.18755
Belize Adventure,Cayo,Cayo,Western Belize ,Yes,2015,2,2,2,0,0,1,1,16.59467,-89.02466
Belize Inn Your Dreams,Stann Creek,Stann Creek,SouthEastern Coast ,Yes,2011,2,2,2,0,0,0,0,16.841028,-88.272096
Belize Island Beach House,Belize,San Pedro,Nothern Islands,Yes,2010,6,6,7,1,0,0,0,17.993381,-87.924522
Belize Jungle Dome,Cayo,Cayo,Western Belize ,Yes,2004,5,5,4,3,3,0,0,17.288548,-88.778532
Belize Ocean Club ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2013,60,30,180,62,32,0,0,16.626104,-88.351134
Belize Paradise Cabana Rentals,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,5,5,10,1,1,0,0,16.521217,-88.368496
Belize River Lodge,Belize,Belize Rural,Central Coast Belize,Yes,1960,8,8,16,11,7,0,0,,
Belizean Cove Estates,Belize,San Pedro,Nothern Islands,Yes,2009,8,6,21,5,3,0,0,17.95683,-87.939109
Belizean Dreams Resort,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2004,27,21,27,24,22,0,0,16.50448,-88.16379
Belizean Reef Suites,Belize,San Pedro,Nothern Islands,Yes,1994,7,5,7,1,2,0,0,17.916782,-87.96446
Belizean Shores Resort,Belize,San Pedro,Nothern Islands,Yes,2001,48,42,72,13,9,0,0,17.956558,-87.939183
Bella Placencia Beach House,Stann Creek,Placencia,SouthEastern Coast ,Yes,2010,4,4,5,1,1,0,0,16.52571,-88.369759
Bella Sombra Guest House,Belize,Belize City,Central Coast Belize,Yes,2011,6,6,10,1,1,0,0,17.498353,-88.186216
Bella Sombra Guesthouse Kings Park ,Belize,Belize City,Central Coast Belize,Yes,2014,7,7,10,1,1,0,0,17.30463,-88.11345
Bella's ,Belize,Caye Caulker,Northern Islands ,Yes,2004,8,8,32,0,2,0,0,17.746785,-88.024581
Bella's Backpackers Hostel,Cayo,Cayo,Western Belize ,Yes,2010,5,4,25,1,1,0,0,17.158295,-89.071201
Belmopan Bed & Breakfast,Cayo,Belmopan,Western Belize ,Yes,2006,4,1,5,0,0,0,0,17.242266,-88.764544
Belmopan Hotel,Cayo,Belmopan,Western Belize ,No,1996,40,20,20,2,4,0,0,17.24886,-88.774539
Benque Resot & Spa,Cayo,Cayo,Western Belize ,Yes,2009,6,6,12,0,0,1,0,17.074424,-89.141858
Bermuda Beach ,Belize,San Pedro,Nothern Islands,Yes,2007,26,16,39,2,1,1,1,17.55549,-87.57184
Bermuda Landing Condominiums,Belize,San Pedro,Nothern Islands,Yes,2006,9,7,11,2,1,1,1,17.55549,-87.57184
Bermuda Palms ,Belize,San Pedro,Nothern Islands,Yes,2006,21,3,3,0,0,0,0,17.916016,-87.964954
Bernie's Beach House,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,3,1,1,0,0,0,0,16.558292,-88.36311
Best Western Belize Biltmore Plaza Hotel,Belize,Belize City,Central Coast Belize,Yes,1990,80,80,80,41,59,1,0,17.514468,-88.224527
Better In Belize Eco Lodge,Cayo,Cayo,Western Belize ,Yes,2011,5,2,1,1,2,0,0,16.593198,-89.025098
Beya Suites,Toledo,Toledo,Southern Belize,Yes,2005,11,10,12,2,3,0,0,16.150987,-88.798794
BFREE,Toledo,Toledo,Southern Belize,,1999,20,10,32,5,4,0,0,,
Big Blue VacationRental,Stann Creek,Placencia,SouthEastern Coast ,Yes,2016,3,3,3,1,1,0,0,16.520919,-88.372825
Big Falls Cottages,Toledo,Toledo,Southern Belize,Yes,2013,2,2,4,2,1,0,0,16.093876,-88.534598
Billy Hawk Caye Lodge,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2009,15,15,16,3,4,0,0,16.787526,-88.157524
Bird Island Placencia,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2015,3,3,4,0,1,0,0,16.29221,-88.16051
Bird's Eye Lodge,Belize,Belize Rural,Central Coast Belize,No,1993,26,26,51,4,6,0,0,17.768775,-88.529184
BJ's Amir Inn,Stann Creek,Placencia,SouthEastern Coast ,Yes,2007,3,3,8,0,0,0,0,,
Black Orchid Resort,Belize,Belize Rural,Central Coast Belize,Yes,2004,23,23,36,13,13,0,0,17.341526,-88.234408
Black Pearl Inn,Toledo,Toledo,Southern Belize,,2013,8,4,6,1,1,0,0,,
Black Rock Lodge  ,Cayo,Cayo,Western Belize ,Yes,2007,20,20,31,28,9,3,2,17.047171,-89.060903
Blackbird Caye Resort,Belize,Offshore North,Northern Islands ,Yes,1994,20,18,18,10,6,0,0,17.440163,-87.837759
Blancaneaux Lodge ,Cayo,Cayo,Western Belize ,Yes,1992,20,20,29,85,17,1,1,17.036984,-88.953326
Blue Agave House,Stann Creek,Placencia,SouthEastern Coast ,No,2015,3,3,3,1,1,0,0,16.36483,-88.21178
Blue Belize Guesthouse,Toledo,Toledo,Southern Belize,Yes,2006,9,8,12,1,1,0,0,16.102939,-88.807164
Blue Bone Fish Belize Villa ,Belize,San Pedro,Nothern Islands,Yes,2010,6,5,11,2,1,0,0,17.898764,-87.981952
Blue Crab House,Stann Creek,Placencia,SouthEastern Coast ,,1994,4,2,2,1,1,0,0,,
Blue Creek Hillside B &B,Orange Walk,Orange Walk,Northern Belize,Yes,1997,10,8,9,0,1,0,0,18.133704,-88.668243
Blue Creek Rainforest Lodge,Toledo,Toledo,Southern Belize,Yes,1994,9,9,40,3,3,0,0,,
Blue Dolphin ,Belize,San Pedro,Nothern Islands,Yes,2002,7,7,7,1,1,0,0,17.963986,-87.931305
Blue Garden House,Stann Creek,Placencia,SouthEastern Coast ,Yes,2007,3,3,4,0,0,0,0,16.520901,-88.37294
Blue Heven Beach Cabana ,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2014,2,2,5,1,0,0,0,16.52406,-88.17193
Blue Horizon Lodge,Stann Creek,Offshore South,SouthEastern Coast ,No,1997,6,3,6,5,2,0,0,16.411723,-88.11125
Blue Lagoon Apartments,Stann Creek,Placencia,SouthEastern Coast ,,2008,16,8,13,1,1,0,0,,
Blue Marlin Beach Resort,Stann Creek,Offshore South,SouthEastern Coast ,Yes,1989,14,14,23,3,8,0,0,16.817421,-88.08213
Blue Moon Cabana,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2011,2,2,3,0,0,1,0,16.860785,-88.282912
Blue Sky Hotel,Stann Creek,Placencia,SouthEastern Coast ,Yes,2011,7,7,14,1,0,0,0,16.522802,-88.370634
Blue Tang Inn,Belize,San Pedro,Nothern Islands,Yes,2000,14,14,20,6,4,0,0,17.923036,-87.95945
Blue Wave Guest House,Belize,Caye Caulker,Northern Islands ,Yes,2001,10,10,12,1,1,0,0,17.44503,-88.01469
Blue Wave Villa,Belize,San Pedro,Nothern Islands,Yes,2014,7,4,5,0,1,0,0,17.747384,-88.023985
Bocatura Cabins,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2014,5,5,5,1,1,0,0,16.4948,-88.17081
Bonefish Hotel,Stann Creek,Dangriga,SouthEastern Coast ,Yes,1994,8,8,11,1,3,0,0,16.965866,-88.219066
Bonita's Bayside Cabanas,Belize,Caye Caulker,Northern Islands ,Yes,2012,6,3,5,1,1,0,0,,
Botanical Paradise,Belize,Caye Caulker,Northern Islands ,Yes,2015,1,1,1,3,3,0,0,,
Brianna's Beach House ,Belize,San Pedro,Nothern Islands,Yes,1999,2,2,2,0,1,0,0,,
Buckner Beach Cabin's Placencia ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2015,8,4,5,0,1,0,0,,
Bull Frog Inn,Cayo,Belmopan,Western Belize ,Yes,1986,26,26,38,2,14,0,0,17.251706,-88.764365
Bullet Tree Riverside Cabanas,Cayo,Cayo,Western Belize ,Yes,2003,3,3,3,2,3,0,0,17.171901,-89.108705
Bull's Beach Cabanas,Stann Creek,Placencia,SouthEastern Coast ,Yes,2002,4,4,7,0,1,0,0,16.518745,-88.26693
Buttonwood Guest House,Stann Creek,Dangriga,SouthEastern Coast ,Yes,2012,5,5,7,0,0,0,1,16.865638,-88.285099
Buy Belize Real Estate - H4 Thurton,Belize,Belize City,Central Coast Belize,Yes,2015,1,1,1,1,0,0,0,17.30567,-88.13229
Buy Belize Real Estate - House 1 Woods,Belize,Belize City,Central Coast Belize,Yes,2014,1,1,1,1,0,0,0,17.30332,-88.13314
Buy Belize Real Estate House 3 - Fabro,Belize,Belize City,Central Coast Belize,Yes,2014,3,3,4,1,0,0,0,17.29248,-88.1111
C & C Comfort Rooms,Stann Creek,Placencia,SouthEastern Coast ,Yes,2007,4,3,3,0,2,0,0,,
C. I. T. Apartments,Orange Walk,Orange Walk,Northern Belize,Yes,2011,17,3,3,1,1,0,0,18.34221,-88.34221
Cabo's Hotel,Cayo,Belmopan,Western Belize ,Yes,2011,10,10,9,1,1,0,0,17.258927,-88.80392
Cahal Pech Village Resort ,Cayo,Cayo,Western Belize ,Yes,1995,58,58,100,23,23,0,0,17.147924,-89.075547
Calico Jack's Village ,Cayo,Cayo,Western Belize ,Yes,2011,12,9,17,14,3,0,0,17.094793,-88.951325
