Name of Operation,District,Area,Geographic Location,Licensed 2016,Opening Year,Hotel Rooms,Hotel Units,Total beds,Hotel Employment Males National,Hotel Employment Females National,Hotel Employment Males Foreign,Hotel Employment Females Foreign,Latitude,Longitude
Christy's Casa,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2015,6,6,8,0,0,0,0,16.49331,-88.16005
Circle C Inn,Toledo,Toledo,Southern Belize,Yes,1994,7,7,10,0,1,0,0,16.092835,-88.809932
City Light Guest House,Corozal,Corozal,Northern Belize,No,2011,6,6,6,1,0,0,0,18.233031,-88.231792
Clarissa Falls Resort ,Cayo,Cayo,Western Belize ,Yes,1991,15,15,43,1,1,0,0,17.110989,-89.126947
Cocao Rainforest Lodge,Cayo,Cayo,Western Belize ,Yes,2014,5,4,6,1,4,0,0,17.085789,-88.424564
Cockscomb Basin Wildlife Sanctuary,Stann Creek,Stann Creek,SouthEastern Coast ,Yes,1997,15,15,14,8,1,0,0,16.4413,-87.27292
Coco Beach Resort,Belize,San Pedro,Nothern Islands,Yes,2009,62,59,112,22,20,0,0,17.57394,-87.56351
Coco Plum Island Resort ,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2002,18,18,18,20,17,0,0,16.881524,-88.119113
Coconut Cottage,Stann Creek,Placencia,SouthEastern Coast ,Yes,1995,1,1,2,0,0,0,0,16.30593,-88.21584
Coconut Grove,Belize,Caye Caulker,Northern Islands ,Yes,2011,2,1,1,1,1,0,0,17.723534,-88.027317
Coconut Row Guest House ,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2011,6,5,11,3,5,0,0,16.86273,-88.283612
Cocopele Inn,Cayo,Cayo,Western Belize ,Yes,2014,7,7,15,0,0,0,1,17.158253,-89.065791
Cocoplum Vacation Rentals,Stann Creek,Placencia,SouthEastern Coast ,Yes,2011,14,13,14,3,2,0,0,,
Cocotal Inn and Cabanas,Belize,San Pedro,Nothern Islands,Yes,2007,9,9,11,4,1,0,0,17.95246,-87.941149
Colibri house,Stann Creek,Placencia,SouthEastern Coast ,Yes,2001,2,2,4,0,0,0,0,,
Colinda Cabanas,Belize,Caye Caulker,Northern Islands ,Yes,2011,11,11,18,3,4,0,0,17.737283,-88.026167
Colonial Suites,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2003,10,10,18,2,4,0,0,16.839919,-88.270731
Come 'N' Dine Motel,Orange Walk,Orange Walk,Northern Belize,,2004,7,7,13,1,2,0,0,,
Compass Rose Guest House-Belize,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2008,1,1,2,0,0,1,1,16.49902,-88.15989
Conch Shell Inn,Belize,San Pedro,Nothern Islands,Yes,2008,10,10,20,0,2,0,0,,
Coningsby Inn,Belize,Belize City,Central Coast Belize,Yes,2000,11,10,16,0,2,0,0,17.49088,-88.187129
Cool M Farm Cabanas ,Cayo,Cayo,Western Belize ,Yes,2001,2,2,4,0,0,0,0,17.153656,-89.057263
Copper Horse Inn,Corozal,Corozal,Northern Belize,Yes,2011,7,7,10,2,5,0,0,18.792968,-88.381706
Coral Bay Villas,Belize,San Pedro,Nothern Islands,Yes,1998,7,6,6,2,2,0,0,17.90973,-87.971262
Coral Cottages,Corozal,Corozal,Northern Belize,Yes,2012,3,3,4,0,1,0,0,18.38979,-88.399701
Coral House Inn,Toledo,Toledo,Southern Belize,Yes,2005,6,6,9,3,6,0,0,16.098706,-88.808145
Coral Pelicano Vacation Home,Belize,San Pedro,Nothern Islands,Yes,2010,3,3,3,0,0,0,0,,
Corona Del Mar Company Ltd. ,Belize,San Pedro,Nothern Islands,Yes,2009,43,42,62,7,11,0,0,17.543727,-87.58175
Cosmopolitan Guest House ,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2014,7,7,11,0,1,0,0,16.839962,-88.273443
Costa Blu Dive Beach Resort ,Belize,San Pedro,Nothern Islands,Yes,2016,40,39,40,12,6,0,0,18.003578,-87.912548
Costa Maya Beach Cabanas,Belize,Caye Caulker,Northern Islands ,Yes,1999,13,13,21,1,2,0,0,17.748651,-88.024159
Cotton Tree Lodge,Toledo,Toledo,Southern Belize,Yes,2006,17,17,39,16,7,0,0,16.101712,-88.927651
Cozy Corner Hotel,Stann Creek,Placencia,SouthEastern Coast ,Yes,1998,12,12,22,2,14,0,0,16.517926,-88.366916
Crocodile Creek Cabanas,Stann Creek,Placencia,SouthEastern Coast ,Yes,2016,3,2,3,1,1,0,0,,
Crooked Tree Lodge,Belize,Belize Rural,Central Coast Belize,Yes,2008,6,6,8,0,0,0,0,17.734522,-88.53414
Crystal Paradise Resort,Cayo,Cayo,Western Belize ,Yes,1992,18,18,47,4,3,0,0,17.125282,-89.059136
CSFI- Shipstern Conservation & Management Area,Corozal,Corozal,Northern Belize,Yes,2015,6,6,30,6,8,0,0,18.317819,-88.18308
D * Victoria Hotel,Orange Walk,Orange Walk,Northern Belize,Yes,1997,29,29,57,5,3,0,0,18.4394,-88.33719
D Nest Inn,Belize,Belize City,Central Coast Belize,Yes,2004,6,4,5,0,0,0,0,17.508953,-88.222646
Dangriga Central Hotel ,Stann Creek,Dangriga,SouthEastern Coast ,Yes,1989,12,12,17,2,2,0,0,16.959204,-88.224105
Darangilau Guest House,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2004,6,5,7,1,1,0,0,16.862684,-88.283788
Day Dreamin' Bed & Breakfast ,Belize,San Pedro,Nothern Islands,Yes,2015,4,4,4,1,2,0,0,17.941382,-87.948053
De Real Macaw,Belize,Caye Caulker,Northern Islands ,Yes,2002,11,11,19,1,3,0,1,17.746692,-88.023774
Deb & Dave's Last Resort,Stann Creek,Placencia,SouthEastern Coast ,Yes,1993,4,4,6,0,1,0,0,16.517918,-88.368684
Debbie's Beach House,Belize,San Pedro,Nothern Islands,Yes,2010,4,4,5,1,1,0,0,17.951117,-87.94112
Decked Out House,Stann Creek,Placencia,SouthEastern Coast ,Yes,2006,3,3,8,0,0,0,0,16.3114.46,-88.221866
Diamond Hotel,Belize,Belize City,Central Coast Belize,Yes,2001,15,15,15,0,4,0,0,17.31358,-88.14163
Diamond Reef Condominiums,Belize,San Pedro,Nothern Islands,Yes,2007,3,2,6,1,1,0,0,18.00259,-87.5441
Diane's Beach House,Belize,Caye Caulker,Northern Islands ,Yes,2002,1,1,1,0,1,0,0,17.743082,-88.023622
Dimas Villas Guest House,Belize,Belize City,Central Coast Belize,Yes,2004,5,5,6,0,1,0,0,17.513947,-88.216048
Dirty McNasty's Hostel,Belize,Caye Caulker,Northern Islands ,Yes,2012,15,14,83,1,5,0,0,17.746528,-88.024456
Dolce Cabana,Stann Creek,Placencia,SouthEastern Coast ,Yes,2012,6,4,7,0,0,0,0,16.520579,-88.372181
Dolphin Motel,Stann Creek,Independence,SouthEastern Coast ,Yes,2008,12,12,12,0,2,0,1,16.3203,-88.25478
Double H. Guest House,,,SouthEastern Coast ,,1994,6,6,7,1,1,0,0,,
Dream Valley Jungle Lodge,Cayo,Cayo,Western Belize ,Yes,2012,29,29,29,9,5,0,1,17.251338,-88.855673
Dreme Inn,Belize,Belize City,Central Coast Belize,Yes,2015,5,3,3,0,0,0,0,17.502079,-88.186819
D's Hostel,Stann Creek,Dangriga,SouthEastern Coast ,Yes,2006,3,3,12,0,2,0,0,16.905813,-88.219392
duPlooy’s Jungle Lodge,Cayo,Cayo,Western Belize ,Yes,1990,16,16,45,21,8,0,0,17.095579,-89.068963
Eastern Guest House,Cayo,Belmopan,Western Belize ,Yes,2003,7,7,7,1,1,0,0,17.243049,-88.778401
Easy Inn,Belize,Belize City,Central Coast Belize,Yes,2009,20,20,20,1,5,0,0,17.507877,-88.205311
Easy Living Apartments ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2001,5,2,3,0,0,0,0,16.3055,-88.21584
Edith's Guest House,Belize,Caye Caulker,Northern Islands ,Yes,1970,4,4,5,0,0,0,0,,
El Castillo De Arena ,Belize,San Pedro,Nothern Islands,Yes,2006,5,4,6,1,0,0,0,17.980331,-87.92313
El Chiclero Inn,Belize,Belize Rural,Central Coast Belize,Yes,1996,6,6,12,0,1,0,0,17.335725,-88.24284
El Grand Mestizo,Orange Walk,Orange Walk,Northern Belize,Yes,2013,9,9,20,3,2,0,0,18.07139,-88.554598
El Pescador Lodge & Villas,Belize,San Pedro,Nothern Islands,Yes,1970,57,37,72,28,21,1,1,17.954156,-87.940247
El Rey Hotel,Cayo,Belmopan,Western Belize ,Yes,1990,12,12,25,4,6,0,0,17.255368,-88.767001
El Secreto Resort,Belize,San Pedro,Nothern Islands,Yes,2012,13,13,13,24,9,2,0,18.056202,-87.890871
Eloise Travel Lodge,Stann Creek,Placencia,SouthEastern Coast ,Yes,1997,9,6,9,0,1,0,0,16.515674,-88.368096
Escape Away Belize,Belize,San Pedro,Nothern Islands,Yes,2015,1,1,5,1,1,0,0,18.028848,-87.899059
Estrella Mare ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2015,2,2,5,0,0,0,0,16.31465,-88.21416
Evan's Place,Stann Creek,Placencia,SouthEastern Coast ,Yes,2003,4,4,7,0,1,0,0,16.517789,-88.367549
Exotic Caye Beach Resort,Belize,San Pedro,Nothern Islands,No,1998,18,17,22,3,4,0,0,17.5442.51,-87.58112
Fairweather's Place,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2005,5,4,4,1,0,0,0,16.535366,-88.03427
Falcon Hill Cabanas,Cayo,Cayo,Western Belize ,Yes,2014,2,2,2,0,0,0,0,,
Fantasy Isalnd Eco-Resort ,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2012,3,3,6,3,3,0,0,16.867117,-88.123685
Fernando's Seaside Guest House,Corozal,Corozal,Northern Belize,Yes,1998,5,5,10,1,1,0,0,18.353362,-88.149098
Finca Villa,Stann Creek,Placencia,SouthEastern Coast ,Yes,2007,2,2,4,1,0,0,0,16.31584,-88.2135
Flomon's Guest House,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2010,4,4,7,1,1,0,0,16.852107,-88.279733
Flores Villas ,Cayo,Cayo,Western Belize ,Yes,2005,7,5,8,1,2,0,0,,
Foresters Lodge,Cayo,Cayo,Western Belize ,Yes,2014,5,5,7,1,1,1,0,17.223609,-88.922523
French Louie Caye ,Stann Creek,Offshore South,SouthEastern Coast ,No,2006,2,1,4,1,1,0,0,16.30034,-88.14599
Frontier Inn,Toledo,Toledo,Southern Belize,Yes,1999,12,12,27,0,3,0,0,16.060202,-88.808221
Gaia Lodge,Cayo,Cayo,Western Belize ,Yes,2012,16,16,21,19,9,0,0,17.038614,-88.984428
Gami's Hotel,Orange Walk,Orange Walk,Northern Belize,Yes,2004,10,10,12,0,2,0,0,18.584,-88.33755
Garbutt's Lodge-Lime Caye,Toledo,Offshore South,SouthEastern Coast ,Yes,2013,8,8,27,2,2,0,0,16.060202,-88.163124
Garbutt's Lodge-Lime Caye,Toledo,Toledo,Southern Belize,Yes,2008,5,5,10,3,3,0,0,16.134988,-88.163124
Gentle's Cool Spot,Belize,Belize Rural,Central Coast Belize,Yes,1999,4,4,6,0,1,0,0,17.113934,-88.20035
Georgia Peach,Belize,Caye Caulker,Northern Islands ,Yes,2002,8,4,4,0,1,0,1,17.743626,-88.024136
Gibson Guest House,Corozal,Corozal,Northern Belize,Yes,2004,4,4,4,0,0,0,0,,
Gill's Cove,Stann Creek,Offshore South,SouthEastern Coast ,Yes,1997,7,7,7,1,0,0,0,,
Global Village,Belize,Belize Rural,Central Coast Belize,Yes,2005,40,40,40,1,4,1,1,17.546096,-88.287564
Glover's Atoll Island Lodge,Stann Creek,Offshore South,SouthEastern Coast ,Yes,1967,20,20,48,4,2,0,0,16.760592,-87.77404
Glover's Guesthouse,Stann Creek,Hopkins,SouthEastern Coast ,Yes,1996,10,10,20,1,1,0,0,16.828088,-88.299742
GM Suites Bed & Breakfast,Cayo,Cayo,Western Belize ,Yes,2015,5,4,5,0,0,0,0,17.260288,-88.760878
Golden Motel,Toledo,Toledo,Southern Belize,Yes,2006,10,10,10,1,1,0,0,16.101997,-88.818577
Golden Tree Hotel,Belize,Belize City,Central Coast Belize,Yes,2004,35,35,35,1,7,0,0,17.30345,-88.12225
Gonzalez Guest House,Orange Walk,Orange Walk,Northern Belize,Yes,1998,9,9,22,1,1,0,0,17.46547,-88.33299
Grace 's Hotel,Toledo,Toledo,Southern Belize,Yes,1992,18,17,29,0,2,0,0,16.100089,-88.802242
Grand Caribe Belize,Belize,San Pedro,Nothern Islands,Yes,2009,109,78,235,57,30,0,0,17.946466,-87.943198
Grand Colony Island Villas,Belize,San Pedro,Nothern Islands,Yes,2005,21,21,0,10,0,6,0,17.904925,-87.975314
Grand Paraiso Casa,Belize,San Pedro,Nothern Islands,Yes,2013,3,3,4,1,1,0,0,17.88522,-87.985701
Green Parrot Beach Houses,Stann Creek,Placencia,SouthEastern Coast ,Yes,1995,8,8,14,2,7,1,1,16.36553,-88.21128
Green Tower House ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2015,3,3,4,0,0,0,0,,
Guest House Exotica,Belize,San Pedro,Nothern Islands,Yes,2015,3,3,3,1,1,0,0,17.54617,-87.5851
Gumbo Limbo,Belize,Caye Caulker,Northern Islands ,Yes,2008,2,2,2,0,0,0,0,17.441667,-88.013552
Gumbo Limbo Jungle Resort,Cayo,Cayo,Western Belize ,Yes,2007,5,5,13,2,3,0,0,17.167538,-88.975111
Habaru House,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2014,5,5,7,1,1,0,0,16.50915,-88.17104
Hairy Hut,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,1,1,7,0,1,0,0,16.3414.79,-88.215512
Half Moon Caye Campground,Belize,Offshore North,Northern Islands ,Yes,2001,6,6,20,6,0,0,0,17.200102,-87.533301
Hamanasi Adventure & Dive  Resort,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2000,50,25,34,73,44,2,2,16.842493,-88.273358
Happy Happy Inn,Cayo,Belmopan,Western Belize ,Yes,2011,3,3,3,1,1,0,0,17.163575,-88.441106
Harbor View Cottage (Applying),Belize,Belize City,Central Coast Belize,No,2016,1,1,1,1,1,0,0,17.293061,-88.105594
Harbour Hideaway,Stann Creek,Placencia,SouthEastern Coast ,Yes,2009,2,1,2,0,0,0,0,16.31156,-88.22223
Harry's Cozy Cabanas,Stann Creek,Placencia,SouthEastern Coast ,Yes,1997,6,5,6,1,1,0,0,16.511577,-88.368269
Hatchet Caye Resort ,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2011,12,12,16,23,4,0,1,16.2801,-88.04102
Heaven's Gate Beach Cabanas,Stann Creek,Placencia,SouthEastern Coast ,Yes,2008,2,2,3,0,2,0,0,,
HFC Lodge ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2015,5,5,15,0,2,0,0,16.3035.4,-88.221778
Hibiscus Cabana,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2013,2,2,4,0,1,0,0,,
Hibiscus Hotel,Cayo,Cayo,Western Belize ,Yes,2011,6,6,7,0,1,0,0,17.251018,-88.774328
Hicklin House,Belize,San Pedro,Nothern Islands,Yes,2010,2,2,2,0,0,0,0,,
Hidden Valley Inn,Cayo,Cayo,Western Belize ,Yes,2001,12,12,18,24,15,1,1,17.049344,-88.899883
Hideaway Caye ,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2011,1,1,1,1,0,0,0,16.682562,-88.191914
Hi-Et Guest House  ,Cayo,Cayo,Western Belize ,Yes,1978,13,10,15,0,0,0,0,17.158175,-89.070543
High Tide Guest House,Stann Creek,Placencia,SouthEastern Coast ,Yes,2015,4,3,6,1,0,0,1,16.33205,-88.21487
Highway Trail Resort,Belize,Belize Rural,Central Coast Belize,Yes,2014,5,5,6,2,0,2,0,,
Hilda's  Hotel,Orange Walk,Orange Walk,Northern Belize,Yes,2016,8,8,8,1,0,0,0,18.04217,-88.33482
Hill Bank Field Station,Orange Walk,Orange Walk,Northern Belize,Yes,1997,10,10,38,3,2,0,0,17.602581,-88.70048
Hode's Place,Cayo,Cayo,Western Belize ,Yes,2016,10,4,10,0,1,0,0,17.09455,-89.04102
Hok' ol' kin Guest House,Corozal,Corozal,Northern Belize,Yes,1996,11,11,22,3,3,0,0,18.389156,-88.388375
Hol Chan Reef Resort,Belize,San Pedro,Nothern Islands,Yes,2010,32,32,32,1,2,0,0,17.880143,-87.993006
Home Hill Apartments ,Cayo,Cayo,Western Belize ,Yes,2013,5,3,3,0,1,0,0,17.148624,-89.070086
Honey Camp Ranch,Orange Walk,Orange Walk,Northern Belize,Yes,2011,2,1,2,1,0,0,0,18.3111,-88.26719
Honey's Hotel,Belize,Belize City,Central Coast Belize,Yes,2015,18,15,18,1,1,0,0,17.304387,-88.125964
Hopkins Bay Belize,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2010,57,54,57,26,18,0,0,16.877183,-88.28767
Hopkins Inn,Stann Creek,Hopkins,SouthEastern Coast ,Yes,1994,5,4,5,0,1,0,0,16.858327,-88.281862
Hostel La Vista,Belize,San Pedro,Nothern Islands,Yes,2014,14,13,44,1,3,0,0,17.919347,-87.962097
Hotel Central Park,Belize,San Pedro,Nothern Islands,Yes,2003,19,15,28,1,1,0,0,17.55065,-87.57455
Hotel De La Fuente,Orange Walk,Orange Walk,Northern Belize,Yes,2004,20,20,28,6,4,0,0,18.4931,-88.33559
Hotel Del Rio,Belize,San Pedro,Nothern Islands,Yes,1997,13,13,23,3,1,0,0,17.927899,-87.957781
Hotel El Pilar,Cayo,Cayo,Western Belize ,Yes,2009,14,13,33,2,1,0,0,17.16498,-89.110073
Hotel Hello,Stann Creek,Dangriga,SouthEastern Coast ,Yes,1994,34,17,25,0,2,0,0,16.537678,-88.418023
Hotel Maya,Corozal,Corozal,Northern Belize,Yes,1979,17,15,29,2,4,0,0,18.23065,-88.23369
Hotel Ocean Paradise,Belize,San Pedro,Nothern Islands,Yes,2016,14,14,24,1,1,0,0,17.920271,-87.961511
Hotel Posado Mama,Corozal,Corozal,Northern Belize,Yes,1988,9,9,10,0,2,0,0,18.3891,-88.393995
Hotel Tia Maria,Cayo,Cayo,Western Belize ,Yes,2008,9,9,13,1,1,0,0,17.160166,-89.071323
Howler House Vacation Rentals,Belize,Belize Rural,Central Coast Belize,Yes,2013,2,2,2,0,1,0,0,,
Howler Monkey Resort,Belize,Belize Rural,Central Coast Belize,Yes,2000,8,8,19,2,1,0,0,17.5545,-88.530936
Hugh Parkey's Belize Adventure Lodge,Belize,Offshore North,Northern Islands ,Yes,2004,16,16,38,14,8,0,0,17.245541,-88.040474
Hummingbird Cottages,Belize,Caye Caulker,Northern Islands ,Yes,2011,6,4,7,1,1,0,0,17.737071,-88.028197
Hummingbird House at Placencia Caye ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2013,3,3,3,1,1,0,0,16.510085,-88.360056
Hummingbird Lodge & Hostel,Cayo,Cayo,Western Belize ,Yes,2004,24,12,12,1,1,0,0,17.04171,-88.35249
Hummingbird Suites,Belize,San Pedro,Nothern Islands,Yes,2015,8,8,9,1,1,0,0,,
Ignacio's Beach Cabins,Belize,Caye Caulker,Northern Islands ,Yes,1987,17,17,24,1,0,0,0,17.736834,-88.026224
Iguana House,Belize,San Pedro,Nothern Islands,Yes,2011,3,3,3,0,0,0,0,,
Iguana Reef Inn,Belize,Caye Caulker,Northern Islands ,Yes,1998,14,14,19,7,7,0,0,17.74559,-88.025351
Iguana Yard,Cayo,Cayo,Western Belize ,Yes,2015,4,4,4,1,0,0,0,17.153557,-89.068488
Imperius Rex ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,5,3,3,0,0,0,0,16.30562,-88.21562
Indigo Beach Homes ,Belize,San Pedro,Nothern Islands,Yes,2010,15,9,34,3,2,0,0,17.97429,-87.926524
Indigo Pearl,Belize,Caye Caulker,Northern Islands ,Yes,2011,2,1,1,0,1,0,0,,
Inglewood Camping Grounds,Cayo,Cayo,Western Belize ,Yes,1999,0,0,0,1,0,0,0,,
Innies Guest House,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2013,4,3,3,1,1,0,0,16.5127,-88.16857
Ionie's Bed & Breakfast,Belize,Belize Rural,Central Coast Belize,Yes,1999,5,5,5,0,1,0,0,,
Isla Bonita Yacht Club,Belize,San Pedro,Nothern Islands,No,2014,52,26,28,3,1,3,0,17.544284,-87.581104
Isla Marisol Resort,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2002,16,16,28,12,10,0,0,16.425944,-87.505772
Island Adventures Campground,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2007,12,12,19,5,2,0,0,,
Island Cheers ,Belize,Caye Caulker,Northern Islands ,Yes,2012,4,4,6,3,3,0,0,,
Island Magic Beach Resort,Belize,Caye Caulker,Northern Islands ,Yes,2010,20,20,24,5,7,0,0,17.4486,-88.0143
Itza Lodge- Long Caye Lighthouse Reef,Belize,Offshore North,Northern Islands ,Yes,2011,24,24,24,3,3,0,0,17.219616,-87.593282
IZE Cottages,Stann Creek,Offshore South,SouthEastern Coast ,Yes,1993,16,16,60,6,4,0,0,16.485587,-88.045756
J & R Guest House,Cayo,Cayo,Western Belize ,Yes,2003,8,7,8,0,1,0,0,17.156286,-89.070875
Jabiru Nest,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2014,5,4,5,1,1,0,0,17.506715,-88.19209
Jacana inn,Belize,Belize Rural,Central Coast Belize,Yes,2016,10,10,10,1,1,0,0,17.775994,-88.542033
Jaguar Creek ,Cayo,Cayo,Western Belize ,Yes,2015,22,11,51,6,7,1,1,17.094212,-88.404916
Jaguar Morning Star Guest House,Belize,Caye Caulker,Northern Islands ,Yes,2001,2,2,3,1,1,0,0,17.73921,-88.026236
Jaguar Reef Lodge,Stann Creek,Hopkins,SouthEastern Coast ,Yes,1995,18,18,26,51,29,0,0,16.840271,-88.271592
Jan's Beach Cabana ,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2013,1,1,1,0,0,0,0,,
Jan's Place,Belize,Caye Caulker,Northern Islands ,Yes,2004,17,17,17,4,2,0,0,17.747696,-88.023969
Jean's Place,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2013,2,2,4,1,1,0,0,16.53534,-88.03411
Jeremiah's Inn,Belize,Caye Caulker,Northern Islands ,Yes,2001,7,7,9,0,1,0,0,17.747169,-88.023958
Jewel of Placencia,Stann Creek,Placencia,SouthEastern Coast ,,2009,3,1,2,1,1,0,0,,
Joe Jo's By The Reef,Stann Creek,Offshore South,SouthEastern Coast ,Yes,2015,11,11,16,1,1,0,0,16.535152,-88.034058
Joya Del Mar,Stann Creek,Placencia,SouthEastern Coast ,Yes,2007,3,3,6,1,1,0,0,,
Joyce & Franks' Bed & Breakfast,Stann Creek,Placencia,SouthEastern Coast ,Yes,2001,14,7,10,1,1,0,0,16.614318,-88.353542
Joyful Inn,Toledo,Toledo,Southern Belize,Yes,2008,19,19,34,0,1,0,0,16.102829,-88.803794
Juan's Guest House Caye Caulker,Belize,Caye Caulker,Northern Islands ,Yes,2015,8,6,16,1,0,0,1,17.740861,-88.024842
Julia's Guesthouse,Stann Creek,Placencia,SouthEastern Coast ,Yes,2002,8,8,12,1,3,0,0,16.519003,-88.367783
Jungle Jeanie's By The Sea,Stann Creek,Hopkins,SouthEastern Coast ,Yes,1995,10,10,20,5,3,0,0,16.846997,-88.275436
Ka'ana Boutique Resort ,Cayo,Cayo,Western Belize ,Yes,2006,17,17,22,40,19,3,1,17.122379,-89.100464
Kanantik Reef & Jungle Resort,Stann Creek,Stann Creek,SouthEastern Coast ,Yes,2002,44,22,24,32,12,12,1,16.4413,-88.18341
Kantara Ku Jungle Escape,Cayo,Belmopan,Western Belize ,Yes,2010,8,7,14,1,1,0,0,17.092911,-88.637089
Kat Kasa ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2015,1,1,4,0,1,0,1,,
Kenmar’s Bed & Breakfast,Cayo,Cayo,Western Belize ,Yes,2004,10,10,14,0,2,0,0,17.25216,-88.764768
Kingdom of Caerus,Belize,Belize Rural,Central Coast Belize,Yes,2016,2,2,2,1,1,0,0,17.422341,-88.202648
Kiskadee Cove,Stann Creek,Placencia,SouthEastern Coast ,Yes,2014,1,1,1,1,1,0,0,,
Kismet Inn,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2003,11,6,8,1,0,0,0,16.874065,-88.287248
Kokomo Beach,Belize,Caye Caulker,Northern Islands ,Yes,2003,2,2,3,0,1,0,0,17.743184,-88.02358
Kukulkan Villa,Cayo,Cayo,Western Belize ,Yes,2013,3,3,4,2,1,0,0,,
La  Caribe,Stann Creek,Placencia,SouthEastern Coast ,,2008,4,2,2,1,1,0,0,,
La Beliza Resort,Belize,San Pedro,Nothern Islands,Yes,2014,18,12,32,5,3,0,0,18.023374,-87.904136
La Casa Del Caballo Blanco,Cayo,Cayo,Western Belize ,Yes,2005,6,6,8,4,3,0,0,17.159198,-89.090431
"La Cubana Hostel, Sleep Box",Belize,Caye Caulker,Northern Islands ,Yes,2014,12,12,19,1,0,0,0,17.743551,-88.023472
La Enramada Cabanas,Orange Walk,Orange Walk,Northern Belize,Yes,2001,12,12,17,1,5,0,0,18.44,-88.3419
La Milpa Ecolodge and Research Station,Orange Walk,Orange Walk,Northern Belize,Yes,1997,14,14,54,3,2,0,0,17.841335,-89.018739
La Perla del Caribe,Belize,San Pedro,Nothern Islands,Yes,2006,9,9,37,6,0,0,0,17.59266,-87.55056
La Primavera Observation Station,Cayo,Cayo,Western Belize ,Yes,2014,5,4,16,0,0,1,0,17.080333,-89.064526
La Rosita Guest,Orange Walk,Orange Walk,Northern Belize,,2001,26,13,12,1,1,0,0,,
Lamanai Hotel,Orange Walk,Orange Walk,Northern Belize,Yes,2015,24,24,60,16,11,0,0,18.1762,-88.33522
Lamanai Riverside Retreat,Orange Walk,Orange Walk,Northern Belize,Yes,2003,5,5,5,0,2,0,0,18.4901,-88.33464
LamanaiOutpost Lodge,Orange Walk,Orange Walk,Northern Belize,Yes,1992,20,17,32,12,13,0,0,17.751811,-88.653921
Laru Beya Resort ,Stann Creek,Placencia,SouthEastern Coast ,Yes,2004,60,30,38,11,8,1,0,16.3326,-88.21461
Las Palmas Hotel,Corozal,Corozal,Northern Belize,No,2004,27,23,42,3,1,0,0,18.232278,-88.23206
Las Terrazas Resort,Belize,San Pedro,Nothern Islands,Yes,2008,39,35,111,44,26,1,0,17.965379,-87.930887
Las Vegas Executive Hotel,Corozal,Corozal,Northern Belize,Yes,2010,59,58,95,3,16,0,1,18.484287,-88.396696
Latitude 17 Degrees,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2012,4,4,6,0,1,0,0,16.861442,-88.284362
Latitude Adjustments,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2013,5,1,5,1,2,0,0,16.852134,-88.281079
Lebeha Cabanas,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2006,8,8,13,0,0,0,0,,
Leeside Rooms,Belize,Caye Caulker,Northern Islands ,Yes,2004,6,3,5,0,1,0,1,17.744847,-88.025563
Lena's Guest House,Belize,Caye Caulker,Northern Islands ,No,1978,13,11,20,0,0,0,0,17.740851,-88.024255
Lewis Family Vacation Home ,Stann Creek,Stann Creek,SouthEastern Coast ,Yes,2008,3,3,4,1,1,0,0,,
Long Caye Adventure Camp,Stann Creek,Offshore South,SouthEastern Coast ,Yes,1996,16,16,22,10,4,2,1,16.452143,-87.465104
Lorraine's Guest House,Belize,Caye Caulker,Northern Islands ,Yes,1998,4,4,8,2,0,0,0,17.739559,-88.026046
Los Encantos Villas,Belize,San Pedro,Nothern Islands,Yes,1999,10,10,11,1,1,0,0,17.974698,-87.925806
Los Mangoes Rentals ,Stann Creek,Hopkins,SouthEastern Coast ,Yes,2014,2,2,4,1,1,0,0,16.871216,-88.287858
